recipe_slug	score_bound
falafel	2.283694271666378
spamburger	2.410898975653012
bacon-fried-rice	2.849251475971429
chicken-fingers	2.7451295166879772
apple-crisp	2.2971322982346667
cranberry-apple-crisp	2.3030782901454088
bacon-chocolate-chip-cookies	1.7940413159736535
sujebi	2.3604789920382307
pasta-primavera	2.17905089587322
ramen	2.4064318587271445
brownies	2.200152724846175
bacon-wrapped-scallops	2.7288169860525207
bacon-egg-muffins	2.7151404912294796
breakfast-burritos	2.382895350318064
bolognese-sauce	2.2799386386788223
croissants	2.313921494450632
bacon-souffle	2.389570383227934
souffle	2.247399647182306
chocolate-souffle	1.6381385767156058
butter-croissants	1.9242061000834068
pickled-green-beans	2.27905805197738
fried-oysters	2.2999837382453183
peanut-butter-brownies	1.9806554040789006
almond-chip-cookies	1.7816876990721606
guacamole	2.3612175766162116
brioche-bread	2.3393111295220352
brioche-bread-with-chocolate	1.751049190056964
asparagus-quiche	2.3098041757827197
asparagus-burger	2.335003133021301
ma-la-chicken	2.8444619846833117
cold-noodles-with-tomatoes	2.3741791671179335
tamales	2.383812828892621
enchiladas	2.338201539077144
tacos	2.3453217258031365
burritos	2.2832146945329868
peanut-butter-cupcakes	1.8527473719387997
pickled-asparagus	2.2938124224774863
chocolate-peanut-butter-cake	1.7100569009552977
udon	2.2545483401553263
vegetable-lasagna	1.9761134600165595
maple-bacon-donuts	2.6180231847945863
maple-bacon-pancakes	1.942554585840477
spinach-and-ricotta-stuffed-shells	2.082534989938175
quesadillas	2.3777239035291706
pico-de-gallo	2.2314309321209542
nachos	2.2947758518445784
cold-soba-noodles-with-tomato-and-cucumber	2.282394444788905
fajitas	2.3372115304426453
loaded-nachos	2.2776815997655695
lasagna	2.2042011838098925
chicken-nuggets	2.796239744276299
pain-au-chocolat	2.3749234928154537
nacho-dip	2.238238150332807
nacho-salad	2.344698206388787
nacho-casserole	2.2349208002620506
nacho-fries	2.3811432536601234
tempura-udon	2.2941360565854803
peach-crisp	2.182161074611761
apple-pie	1.891187550389589
blueberry-crisp	2.0768221637695192
berry-crumble	1.956844565352418
strawberry-rhubarb-crisp	2.353775838676558
peach-cobbler	2.2060606997956618
cranberry-sauce	2.2817996274606003
cherry-cobbler	2.0969930546716675
apple-crumble	2.36565982166185
chocolate-croissants	1.7396698401388844
french-toast	2.266208269674268
chocolate-babka	1.8920851735724602
cinnamon-babka	2.0492832509727523
blueberry-crumble	2.04061008156566
spam-musubi	2.3516354626204476
taco-salad	2.344813097924142
chiles-rellenos	2.2565913677159832
almond-croissants	2.1772795783064103
cranberry-relish	2.2817996274605994
ma-la-beef	2.726029821249342
chocolate-cake	1.6766219953435315
spinach-quiche	2.2736429471036024
mushroom-quiche	2.3274848857183943
quiche-lorraine	2.3234729631526774
croissant-aux-amandes	2.345337239646613
danishes	2.2901719536942062
spinach-and-feta-quiche	2.2349372364254827
cold-sesame-noodles	2.27220207358396
soba-noodle-salad-with-peanut-dressing	2.280700035569115
dan-dan-noodles	2.410876004964157
vanilla-souffle	2.28989786300018
bacon-wrapped-dates	2.703567848217864
cherry-pie	1.8210913007369702
berry-crisp	2.1953527797102477
bacon-and-egg-breakfast-sandwich	2.7145986969205707
bacon-wrapped-shrimp-skewers	2.7811488056187645
bacon-wrapped-chicken	2.8376856342934276
bacon-wrapped-asparagus	2.7862175249268653
bacon-mac-and-cheese	2.7966614143352295
chicken-alfredo-lasagna	2.683610707146035
classic-beef-lasagna	2.5802988693360094
vegetarian-mushroom-lasagna	2.14460549604901
spinach-and-ricotta-lasagna	2.203314684543162
