recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	1.0
quesadillas	7.285068141563702	0.5
ramen	7.269637019967583	0.5
bacon-fried-rice	6.984416033285193	1.0
chocolate-babka	7.012526563373157	0.0
spamburger	6.977490563609444	0.5
pain-au-chocolat	6.922698628729226	0.5
nacho-fries	6.805103276601831	0.5
cranberry-sauce	6.699832734359593	0.5
guacamole	6.644947269249084	0.5
bacon-wrapped-chicken	6.566798078974221	1.0
mushroom-quiche	6.523837943100663	0.5
strawberry-rhubarb-crisp	6.362444538302374	0.5
dan-dan-noodles	6.356914343772318	0.5
bacon-wrapped-asparagus	6.346194936743618	1.0
asparagus-burger	6.360809360415905	0.5
cold-noodles-with-tomatoes	6.349291956836489	0.5
apple-pie	6.199089056347552	0.0
brioche-bread	6.14686000102705	0.5
tamales	6.136870434503788	0.5
asparagus-quiche	6.0357360483739315	0.5
taco-salad	5.960955620327469	0.5
apple-crisp	5.917628524590022	0.5
bacon-mac-and-cheese	5.888706561197913	1.0
chicken-nuggets	5.871531985160372	1.0
spam-musubi	5.724247888746732	0.5
bacon-wrapped-shrimp-skewers	5.701474039650618	1.0
fajitas	5.689090666482732	0.5
breakfast-burritos	5.647597653649893	0.5
sujebi	5.633906073783327	0.5
tacos	5.591320727162738	0.5
croissants	5.572134495271604	0.5
croissant-aux-amandes	5.433666960228361	0.5
nacho-salad	5.375183843860488	0.5
quiche-lorraine	5.347153857453866	0.5
peanut-butter-cupcakes	5.331933132822836	0.0
nachos	5.2939995426174145	0.5
spinach-and-ricotta-lasagna	5.221144839968937	0.5
cranberry-apple-crisp	5.209253840906325	0.5
enchiladas	5.152797078992488	0.5
souffle	5.144029537573113	0.5
soba-noodle-salad-with-peanut-dressing	5.1128912090853875	0.5
bacon-wrapped-scallops	5.042407532035128	1.0
peach-crisp	5.014492053371286	0.5
loaded-nachos	4.96636383907373	0.5
vanilla-souffle	4.963982801977885	0.5
bacon-egg-muffins	4.912440920391115	1.0
chicken-fingers	4.9091793603839635	1.0
danishes	4.892516978082286	0.5
ma-la-beef	4.873628346576068	1.0
spinach-quiche	4.858093152283163	0.5
falafel	4.806635285710869	0.5
pickled-green-beans	4.76631682198465	0.5
bacon-and-egg-breakfast-sandwich	4.702929722334288	1.0
bolognese-sauce	4.698970865970336	0.5
maple-bacon-donuts	4.68540165894941	1.0
brownies	4.684858367271096	0.5
tempura-udon	4.664046199160008	0.5
cherry-pie	4.647615470134163	0.0
chicken-alfredo-lasagna	4.644550335831148	1.0
cold-sesame-noodles	4.628709691868073	0.5
chiles-rellenos	4.628872659917856	0.5
bacon-wrapped-dates	4.592254630210638	1.0
burritos	4.5653987621839	0.5
cranberry-relish	4.542199369800454	0.5
maple-bacon-pancakes	4.508894825208435	0.0
fried-oysters	4.506196997104506	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.484200364548876	0.5
brioche-bread-with-chocolate	4.391563917145401	0.0
pickled-asparagus	4.368031920651717	0.5
udon	4.311301554269033	0.5
bacon-chocolate-chip-cookies	4.275532773879751	0.0
spinach-and-feta-quiche	4.275121954470836	0.5
almond-croissants	4.239304572357827	0.5
peach-cobbler	4.198845274308329	0.5
classic-beef-lasagna	4.187027211192402	1.0
french-toast	4.14570055688122	0.5
pico-de-gallo	4.128323735445859	0.5
pasta-primavera	4.088983184404162	0.5
nacho-casserole	4.073165564216827	0.5
nacho-dip	4.057124215102597	0.5
chocolate-peanut-butter-cake	4.026039155980296	0.0
berry-crisp	3.9930418037666096	0.5
lasagna	3.8547368310105075	0.5
almond-chip-cookies	3.700856573684872	0.0
vegetarian-mushroom-lasagna	3.505237545104909	0.5
blueberry-crumble	3.4322666714090975	0.5
chocolate-croissants	3.4066111918259505	0.0
cherry-cobbler	3.2903660288386583	0.5
spinach-and-ricotta-stuffed-shells	3.2322904343849714	0.5
chocolate-cake	3.185743100309635	0.0
cinnamon-babka	3.1473681495677175	0.5
bacon-souffle	3.120813153869833	1.0
blueberry-crisp	3.0917645479649476	0.5
peanut-butter-brownies	2.9617089049498277	0.5
bacon-fried-rice	2.848698034623688	1.0
ma-la-chicken	2.844455234455564	1.0
bacon-wrapped-chicken	2.8387617844994373	1.0
bacon-mac-and-cheese	2.797209815268385	1.0
